,RETAILER_ID,TXN_COUNT,ITEM_COUNT,DOLLAR_SALES,category_hh_idx,log_txn_count,log_itemcount,log_dollar_sales,log_cat_hh,norm_log_txn_count,norm_log_itemcount,norm_log_dollar_sales,norm_log_cat_hh,labels_from_model,tsne_1,tsne_2,tsne_3
37,552,252181,1159226,13900000,0.421659487,12.43790236,13.9632631,16.4473994,-0.863557193,0.008870011,0.059867223,0.29126878,0.556687934,2,-0.26187411,2.131945848,-0.94652158
38,1926,57894,342183,9946216.2,0.401240714,10.96636903,12.74310096,16.11270276,-0.913193746,-2.126020277,-1.355576212,-0.109958505,0.350259221,1,-5.643576145,3.404687881,0.083941124
39,91,198764,892023,12100000,0.814656806,12.19987347,13.7012472,16.30871601,-0.204988351,-0.336460645,-0.244083111,0.125018056,3.295546894,3,-1.960071921,4.917016506,-2.709033728
40,570,556575,2632830,25800000,0.326062606,13.22955721,14.78356987,17.06588505,-1.120665872,1.157397342,1.011460293,1.032696351,-0.512576758,0,6.233649731,-2.181899071,1.240355492
41,225,505842,2409384,25800000,0.304536599,13.13397965,14.69488167,17.06588505,-1.188964004,1.018734078,0.908577958,1.032696351,-0.796615324,0,5.61935854,-2.453545094,1.240795851
42,682,108117,322595,6010055.74,0.53021986,11.59096925,12.68415295,15.60894458,-0.634463529,-1.219854634,-1.423958583,-0.713853193,1.509443659,1,-4.617761135,4.108205795,-1.54770875
43,283,107173,259675,2399917.51,0.466893621,11.58219963,12.46718613,14.69094492,-0.761653839,-1.232577542,-1.675649935,-1.814331845,0.980484044,1,-5.971199036,3.180047989,-1.878472328
44,401,449334,2880681,18200000,0.311171771,13.01552177,14.87353728,16.71693215,-1.167410201,0.84687621,1.115826572,0.614378968,-0.706977274,0,4.629395485,-2.593368769,1.636710644
45,2109,158601,421595,4282325.83,0.801036178,11.97414689,12.95180042,15.27000684,-0.221849167,-0.663943187,-1.113475375,-1.12016462,3.225426059,3,-3.262170315,5.168851852,-2.724018812
46,413,453713,1707346,20200000,0.311284784,13.02522012,14.35045068,16.82119316,-1.167047081,0.860946513,0.509022378,0.739364871,-0.705467129,0,4.039751053,-1.128151417,1.076798439
47,579,488881,1933474,23900000,0.461413688,13.09987439,14.47482894,16.98938902,-0.773460268,0.969254402,0.65330681,0.940994518,0.931383417,0,1.207684278,3.537013054,-1.863471746
48,285,293300,1425125,17000000,0.339237796,12.58895125,14.16977009,16.6487239,-1.081053953,0.22801069,0.299424698,0.532612354,-0.347838538,2,1.632330894,-0.294978708,0.113482423
49,232,793041,4487721,62300000,0.341225016,13.5836302,15.31685556,17.94747198,-1.075213149,1.671083965,1.630095884,2.089524197,-0.323547774,0,8.811754227,-2.672163963,1.429065704
50,607,264591,728830,5760703.57,0.387820616,12.48594052,13.49919579,15.56657017,-0.947212377,0.07856343,-0.478471911,-0.764650741,0.208782391,2,-2.573064327,0.527920365,-1.750103354
51,396,133856,533504,5123913.99,0.30379789,11.80451987,13.18722185,15.44942916,-1.191392635,-0.910036883,-0.840375835,-0.905076924,-0.806715525,1,-5.359801769,-0.047115229,0.274714291
52,137,193394,1275035,10900000,0.286243001,12.17248484,14.05848419,16.20427335,-1.250914177,-0.376195882,0.170328005,-0.000185609,-1.054253972,2,-1.266951323,-2.135270119,1.406304359
53,721,232656,761737,4549150.81,0.328822145,12.35731625,13.54335663,15.33045114,-1.112238266,-0.108043763,-0.42724333,-1.047705266,-0.477527994,2,-3.36294198,-1.195499659,-0.901217103
55,1949,62763,184394,2290979.43,0.598277108,11.04712101,12.12483005,14.64448998,-0.513701241,-2.008865875,-2.072798515,-1.87002105,2.011670389,1,-6.187554836,4.195385456,-1.880387425
56,3438,339851,1192030,15900000,0.317864089,12.73626257,13.99116829,16.58182967,-1.146131382,0.441728911,0.092238515,0.452420955,-0.61848283,2,1.697617888,-0.475331753,0.857258379
57,611,149697,393388,3375444.37,0.430612069,11.91636853,12.88255168,15.03203754,-0.842547666,-0.747767634,-1.193807049,-1.405437203,0.644062446,1,-5.058973312,2.336781025,-1.6989187
58,2110,202524,630506,4025578.85,0.620856172,12.21861368,13.35427795,15.20817927,-0.476655831,-0.309272483,-0.646583176,-1.194282204,2.165734997,3,-3.253121138,4.469867706,-2.471133709
59,1946,204261,598209,9276769.5,0.665487148,12.22715387,13.30169547,16.04302393,-0.407235954,-0.296882436,-0.707581239,-0.193488013,2.454438687,3,-2.370137691,4.605821609,-2.485234261
60,874,251776,1560560,6769052,0.30945296,12.43629508,14.26055529,15.72787161,-1.172949187,0.00653818,0.404739651,-0.571285981,-0.730012832,2,-1.355156302,-2.500003576,0.089116663
61,364,447663,2286403,39400000,0.4706455,13.011796,14.6424904,17.48927637,-0.753650122,0.84147089,0.847801704,1.540248952,1.013769939,0,1.518943548,3.586169243,-1.87054503
62,229,678257,3665508,45400000,0.316009739,13.42728155,15.11447749,17.63102266,-1.151982245,1.444254434,1.395328145,1.710171418,-0.642815426,0,7.875964642,-2.654308796,1.60982573
63,370,521693,1626884,13000000,0.302301227,13.16483457,14.30217709,16.38045992,-1.196331318,1.063498187,0.453022824,0.211023138,-0.827254544,0,3.403499603,-0.153034344,1.453508139
64,231,518662,2854138,32200000,0.327493415,13.1590077,14.86428043,17.28747701,-1.11628733,1.055044599,1.105088202,1.298336126,-0.494367258,0,6.672058582,-2.281726122,0.786284745
65,347,412416,1902797,18300000,0.324879341,12.92978783,14.45883547,16.72241162,-1.124301425,0.722494012,0.634753652,0.620947636,-0.527696311,0,3.749156237,-1.225818038,0.703708351
66,176,147195,1091668,6404123.92,0.265359867,11.89951352,13.90321736,15.6724527,-1.326668384,-0.772220768,-0.009788558,-0.637720994,-1.369300898,2,-2.965568781,-2.246393919,1.461152077
67,33,243706,1007750,15800000,0.443077761,12.40371786,13.82323068,16.5755205,-0.814009991,-0.040724627,-0.102576735,0.444857656,0.762745055,3,-0.382268965,2.521696568,-1.029282808
68,550,361734,1447665,19600000,0.46265904,12.79866441,14.18546247,16.79104012,-0.770764911,0.532261078,0.317628576,0.703218044,0.942592881,3,0.704341412,3.244858742,-1.646344066
69,1953,261805,1293589,21700000,0.482770096,12.47535523,14.07293108,16.89282282,-0.728214731,0.063206371,0.187087061,0.825232994,1.119550752,3,0.364161491,3.118436098,-1.453439593
70,149,430211,2621751,22100000,0.290769592,12.97203106,14.77935297,16.91108817,-1.235224105,0.783780206,1.0065685,0.847129108,-0.989002033,0,4.722107887,-2.935937166,1.513592482
71,411,374144,1490302,17500000,0.306959195,12.83239603,14.21448934,16.67771144,-1.181040454,0.58119867,0.351301062,0.567362003,-0.763662832,2,2.646210194,-1.11052227,1.157724142
72,414,230884,774604,8922100.33,0.341077235,12.3496707,13.56010721,16.00404194,-1.075646332,-0.119135871,-0.407811898,-0.240218802,-0.3253493,2,-2.057777166,-0.244448394,0.079239547
73,228,767284,4624424,64300000,0.323751684,13.55061229,15.34686238,17.97907019,-1.127778466,1.623181803,1.664905159,2.12740346,-0.542156642,0,8.685101509,-2.688672066,1.846236944
74,438,241664,1083573,7043427.52,0.295674107,12.39530361,13.89577447,15.76760547,-1.218497421,-0.052931961,-0.018422646,-0.523653858,-0.919439026,2,-2.174250364,-2.178222179,0.283049732
75,367,632966,5229717,52800000,0.294914211,13.35817199,15.46986772,17.78202175,-1.221070776,1.343990761,1.807596937,1.891185941,-0.930141108,0,8.203318596,-3.001008034,2.219979048
76,554,208192,1602628,6846068.43,0.29268141,12.24621601,14.28715534,15.73918509,-1.2286706,-0.269227212,0.435596916,-0.55772361,-0.961747287,2,-1.537798643,-2.655939817,0.437323958
