,Month,Product,Market_Sales
156,2021-04,VILLA JOLANDA PROSECCO,204.96
157,2021-01,VILLA JOLANDA PROSECCO,204.96
158,2021-05,VILLA JOLANDA PROSECCO,462.6500000000001
159,2021-03,VILLA JOLANDA PROSECCO,154.84
160,2021-07,VILLA JOLANDA PROSECCO,212.38000000000002
161,2020-05,VILLA JOLANDA PROSECCO,109.9
162,2020-07,VILLA JOLANDA PROSECCO,32.97
163,2020-03,VILLA JOLANDA PROSECCO,32.97
164,2020-06,VILLA JOLANDA PROSECCO,37.95
165,2019-05,VILLA JOLANDA PROSECCO,62.06
166,2019-03,VILLA JOLANDA PROSECCO,0.0
167,2019-06,VILLA JOLANDA PROSECCO,39.95
168,2020-09,VILLA JOLANDA PROSECCO,54.95
169,2020-04,VILLA JOLANDA PROSECCO,32.97
170,2019-01,VILLA JOLANDA PROSECCO,10.99
171,2019-09,VILLA JOLANDA PROSECCO,54.95
172,2019-11,VILLA JOLANDA PROSECCO,69.42999999999999
173,2020-01,VILLA JOLANDA PROSECCO,10.99
174,2019-08,VILLA JOLANDA PROSECCO,70.42999999999999
175,2019-10,VILLA JOLANDA PROSECCO,27.97
176,2020-08,VILLA JOLANDA PROSECCO,10.99
177,2019-02,VILLA JOLANDA PROSECCO,21.98
178,2019-04,VILLA JOLANDA PROSECCO,32.97
179,2019-07,VILLA JOLANDA PROSECCO,69.43
180,2020-02,MUMM NAPA PROSECCO,0.0
181,2020-12,MUMM NAPA PROSECCO,445.1700000000001
182,2021-12,MUMM NAPA PROSECCO,139.92999999999998
183,2021-10,MUMM NAPA PROSECCO,119.94
184,2020-10,MUMM NAPA PROSECCO,0.0
185,2019-12,MUMM NAPA PROSECCO,0.0
186,2020-11,MUMM NAPA PROSECCO,0.0
187,2021-09,MUMM NAPA PROSECCO,179.90999999999997
188,2021-06,MUMM NAPA PROSECCO,59.97
189,2021-08,MUMM NAPA PROSECCO,119.93999999999998
190,2021-02,MUMM NAPA PROSECCO,139.92999999999998
191,2021-11,MUMM NAPA PROSECCO,323.82
192,2021-04,MUMM NAPA PROSECCO,59.97
193,2021-01,MUMM NAPA PROSECCO,238.87999999999997
194,2021-05,MUMM NAPA PROSECCO,268.86
195,2021-03,MUMM NAPA PROSECCO,154.92
196,2021-07,MUMM NAPA PROSECCO,249.87999999999997
197,2020-05,MUMM NAPA PROSECCO,0.0
198,2020-07,MUMM NAPA PROSECCO,0.0
199,2020-03,MUMM NAPA PROSECCO,0.0
200,2020-06,MUMM NAPA PROSECCO,0.0
201,2019-05,MUMM NAPA PROSECCO,0.0
202,2019-03,MUMM NAPA PROSECCO,0.0
203,2019-06,MUMM NAPA PROSECCO,0.0
204,2020-09,MUMM NAPA PROSECCO,0.0
205,2020-04,MUMM NAPA PROSECCO,0.0
206,2019-01,MUMM NAPA PROSECCO,0.0
207,2019-09,MUMM NAPA PROSECCO,0.0
208,2019-11,MUMM NAPA PROSECCO,0.0
209,2020-01,MUMM NAPA PROSECCO,0.0
210,2019-08,MUMM NAPA PROSECCO,0.0
211,2019-10,MUMM NAPA PROSECCO,0.0
212,2020-08,MUMM NAPA PROSECCO,0.0
213,2019-02,MUMM NAPA PROSECCO,0.0
214,2019-04,MUMM NAPA PROSECCO,0.0
215,2019-07,MUMM NAPA PROSECCO,0.0
216,2020-02,RIONDO PROSECCO,0.0
217,2020-12,RIONDO PROSECCO,244.76000000000002
218,2021-12,RIONDO PROSECCO,304.03000000000003
219,2021-10,RIONDO PROSECCO,200.65
220,2020-10,RIONDO PROSECCO,0.0
221,2019-12,RIONDO PROSECCO,0.0
222,2020-11,RIONDO PROSECCO,0.0
223,2021-09,RIONDO PROSECCO,171.85000000000002
224,2021-06,RIONDO PROSECCO,347.15000000000003
225,2021-08,RIONDO PROSECCO,289.68000000000006
226,2021-02,RIONDO PROSECCO,32.97
227,2021-11,RIONDO PROSECCO,146.89
228,2021-04,RIONDO PROSECCO,228.77000000000004
229,2021-01,RIONDO PROSECCO,123.83000000000001
230,2021-05,RIONDO PROSECCO,156.87
231,2021-03,RIONDO PROSECCO,138.37
232,2021-07,RIONDO PROSECCO,152.87
233,2020-05,RIONDO PROSECCO,0.0
234,2020-07,RIONDO PROSECCO,0.0
235,2020-03,RIONDO PROSECCO,0.0
236,2020-06,RIONDO PROSECCO,0.0
237,2019-05,RIONDO PROSECCO,0.0
238,2019-03,RIONDO PROSECCO,0.0
239,2019-06,RIONDO PROSECCO,0.0
240,2020-09,RIONDO PROSECCO,0.0
241,2020-04,RIONDO PROSECCO,0.0
242,2019-01,RIONDO PROSECCO,0.0
243,2019-09,RIONDO PROSECCO,0.0
244,2019-11,RIONDO PROSECCO,0.0
245,2020-01,RIONDO PROSECCO,0.0
246,2019-08,RIONDO PROSECCO,0.0
247,2019-10,RIONDO PROSECCO,0.0
248,2020-08,RIONDO PROSECCO,0.0
249,2019-02,RIONDO PROSECCO,0.0
250,2019-04,RIONDO PROSECCO,0.0
251,2019-07,RIONDO PROSECCO,0.0
